Season,Team,Rating
2022-2023,Man City,85
2022-2023,Liverpool,84
2022-2023,Arsenal,82
2022-2023,Chelsea,82
2022-2023,Man United,82
2022-2023,Tottenham,81
2022-2023,Newcastle,80
2022-2023,Aston Villa,79
2022-2023,West Ham,78
2022-2023,Leicester,78
2022-2023,Wolves,78
2022-2023,Nott'm Forest,77
2022-2023,Brighton,77
2022-2023,Everton,76
2022-2023,Crystal Palace,76
2022-2023,Fulham,76
2022-2023,Leeds,75
2022-2023,Southampton,75
2022-2023,Brentford,75
2022-2023,Bournemouth,74
2021-2022,Liverpool,85
2021-2022,Man City,85
2021-2022,Chelsea,84
2021-2022,Man United,83
2021-2022,Tottenham,81
2021-2022,Arsenal,80
2021-2022,Leicester,80
2021-2022,West Ham,79
2021-2022,Aston Villa,78
2021-2022,Everton,78
2021-2022,Wolves,78
2021-2022,Newcastle,77
2021-2022,Burnley,76
2021-2022,Crystal Palace,76
2021-2022,Leeds,76
2021-2022,Brighton,76
2021-2022,Southampton,76
2021-2022,Watford,74
2021-2022,Brentford,74
2021-2022,Norwich,73
2020-2021,Liverpool,85
2020-2021,Man City,85
2020-2021,Chelsea,82
2020-2021,Man United,82
2020-2021,Tottenham,82
2020-2021,Arsenal,80
2020-2021,Leicester,80
2020-2021,Everton,79
2020-2021,Wolves,79
2020-2021,West Ham,78
2020-2021,Aston Villa,77
2020-2021,Burnley,76
2020-2021,Crystal Palace,76
2020-2021,Leeds,76
2020-2021,Newcastle,76
2020-2021,Southampton,76
2020-2021,Brighton,75
2020-2021,Fulham,75
2020-2021,Sheffield United,73
2020-2021,West Brom,73
2019-2020,Liverpool,85
2019-2020,Man City,85
2019-2020,Tottenham,82
2019-2020,Chelsea,81
2019-2020,Man United,81
2019-2020,Arsenal,80
2019-2020,Leicester,79
2019-2020,Everton,78
2019-2020,West Ham,78
2019-2020,Wolves,78
2019-2020,Watford,77
2019-2020,Crystal Palace,77
2019-2020,Newcastle,77
2019-2020,Aston Villa,76
2019-2020,Burnley,76
2019-2020,Brighton,76
2019-2020,Southampton,76
2019-2020,Bournemouth,76
2019-2020,Sheffield United,75
2019-2020,Norwich,74
2018-2019,Man City,85
2018-2019,Chelsea,83
2018-2019,Liverpool,83
2018-2019,Tottenham,83
2018-2019,Arsenal,82
2018-2019,Man United,82
2018-2019,Everton,79
2018-2019,West Ham,78
2018-2019,Leicester,78
2018-2019,Watford,77
2018-2019,Burnley,77
2018-2019,Crystal Palace,77
2018-2019,Wolves,77
2018-2019,Bournemouth,77
2018-2019,Newcastle,76
2018-2019,Brighton,76
2018-2019,Southampton,76
2018-2019,Fulham,75
2018-2019,Huddersfield,74
2018-2019,Cardiff,73
2017-2018,Man City,84
2017-2018,Chelsea,83
2017-2018,Man United,83
2017-2018,Tottenham,83
2017-2018,Arsenal,82
2017-2018,Liverpool,81
2017-2018,Everton,79
2017-2018,Leicester,78
2017-2018,Watford,77
2017-2018,Burnley,77
2017-2018,West Ham,77
2017-2018,Crystal Palace,76
2017-2018,Stoke,76
2017-2018,Southampton,76
2017-2018,West Brom,76
2017-2018,Bournemouth,76
2017-2018,Newcastle,75
2017-2018,Brighton,75
2017-2018,Swansea,75
2017-2018,Huddersfield,74
