Season,Team,Rating
2022-2023,Manchester City,85
2022-2023,Liverpool,84
2022-2023,Arsenal,82
2022-2023,Chelsea,82
2022-2023,Manchester United,82
2022-2023,Tottenham Hotspur,81
2022-2023,Newcastle United,80
2022-2023,Aston Villa,79
2022-2023,West Ham United,78
2022-2023,Leicester City,78
2022-2023,Wolverhampton Wanderers,78
2022-2023,Nottingham Forest,77
2022-2023,Brighton & Hove Albion,77
2022-2023,Everton,76
2022-2023,Crystal Palace,76
2022-2023,Fulham,76
2022-2023,Leeds United,75
2022-2023,Southampton,75
2022-2023,Brentford,75
2022-2023,AFC Bournemouth,74
2021-2022,Liverpool,85
2021-2022,Manchester City,85
2021-2022,Chelsea,84
2021-2022,Manchester United,83
2021-2022,Tottenham Hotspur,81
2021-2022,Arsenal,80
2021-2022,Leicester City,80
2021-2022,West Ham United,79
2021-2022,Aston Villa,78
2021-2022,Everton,78
2021-2022,Wolverhampton Wanderers,78
2021-2022,Newcastle United,77
2021-2022,Burnley,76
2021-2022,Crystal Palace,76
2021-2022,Leeds United,76
2021-2022,Brighton & Hove Albion,76
2021-2022,Southampton,76
2021-2022,Watford,74
2021-2022,Brentford,74
2021-2022,Norwich City,73
2020-2021,Liverpool,85
2020-2021,Manchester City,85
2020-2021,Chelsea,82
2020-2021,Manchester United,82
2020-2021,Tottenham Hotspur,82
2020-2021,Arsenal,80
2020-2021,Leicester City,80
2020-2021,Everton,79
2020-2021,Wolverhampton Wanderers,79
2020-2021,West Ham United,78
2020-2021,Aston Villa,77
2020-2021,Burnley,76
2020-2021,Crystal Palace,76
2020-2021,Leeds United,76
2020-2021,Newcastle United,76
2020-2021,Southampton,76
2020-2021,Brighton & Hove Albion,75
2020-2021,Fulham,75
2020-2021,Sheffield United,73
2020-2021,West Bromwich Albion,73
2019-2020,Liverpool,85
2019-2020,Manchester City,85
2019-2020,Tottenham Hotspur,82
2019-2020,Chelsea,81
2019-2020,Manchester United,81
2019-2020,Arsenal,80
2019-2020,Leicester City,79
2019-2020,Everton,78
2019-2020,West Ham United,78
2019-2020,Wolverhampton Wanderers,78
2019-2020,Watford,77
2019-2020,Crystal Palace,77
2019-2020,Newcastle United,77
2019-2020,Aston Villa,76
2019-2020,Burnley,76
2019-2020,Brighton & Hove Albion,76
2019-2020,Southampton,76
2019-2020,AFC Bournemouth,76
2019-2020,Sheffield United,75
2019-2020,Norwich City,74
2018-2019,Manchester City,85
2018-2019,Chelsea,83
2018-2019,Liverpool,83
2018-2019,Tottenham Hotspur,83
2018-2019,Arsenal,82
2018-2019,Manchester United,82
2018-2019,Everton,79
2018-2019,West Ham United,78
2018-2019,Leicester City,78
2018-2019,Watford,77
2018-2019,Burnley,77
2018-2019,Crystal Palace,77
2018-2019,Wolverhampton Wanderers,77
2018-2019,AFC Bournemouth,77
2018-2019,Newcastle United,76
2018-2019,Brighton & Hove Albion,76
2018-2019,Southampton,76
2018-2019,Fulham,75
2018-2019,Huddersfield Town,74
2018-2019,Cardiff City,73
2017-2018,Manchester City,84
2017-2018,Chelsea,83
2017-2018,Manchester United,83
2017-2018,Tottenham Hotspur,83
2017-2018,Arsenal,82
2017-2018,Liverpool,81
2017-2018,Everton,79
2017-2018,Leicester City,78
2017-2018,Watford,77
2017-2018,Burnley,77
2017-2018,West Ham United,77
2017-2018,Crystal Palace,76
2017-2018,Stoke City,76
2017-2018,Southampton,76
2017-2018,West Bromwich Albion,76
2017-2018,AFC Bournemouth,76
2017-2018,Newcastle United,75
2017-2018,Brighton & Hove Albion,75
2017-2018,Swansea City,75
2017-2018,Huddersfield Town,74
